"ID","Issue Type","Title","Description","Status","Story Points","Assignee"
"EPIC-1","Epic","Web Portal (SOA) Implementation","Develop the Patient facing web portal for registration and appointment booking.","In Progress","13","Frontend Dev"
"EPIC-2","Epic","Desktop Application (AOA)","Develop the staff terminal for Consultants and Nurses to manage appointments.","To Do","8","Python Dev"
"EPIC-3","Epic","Backend Database Integration","Set up Flask API and SQLAlchemy ORM models based on the ERD.","Done","5","Backend Dev"
"STORY-1","User Story","As a Patient, I want to register an account so that I can access the clinic portal.","Create registration form and API endpoint.","Done","3","Frontend Dev"
"STORY-2","User Story","As a Patient, I want to book an appointment online so that I don't have to call the clinic.","Implement datetime picker and POST request to backend.","In Progress","5","Frontend Dev"
"STORY-3","User Story","As a Patient, I want to fill out Section One of the medical form before my visit.","Create form for symptoms and allergies linking to my appointment.","To Do","3","Frontend Dev"
"STORY-4","User Story","As a Nurse, I want to record patient vital signs so the consultant has them ready.","Create desktop GUI inputs for BP and BMI.","To Do","3","Python Dev"
"STORY-5","User Story","As a Consultant, I want to complete Section Two of the medical form with my diagnosis.","Create desktop GUI for diagnosis and clinical notes.","To Do","5","Python Dev"
"TASK-1","Task","Initialize Flask project and SQLite database","Set up the basic app.py and models.py files.","Done","2","Backend Dev"
"TASK-2","Task","Design CSS Aesthetic","Implement a modern, premium CSS stylesheet using CVD Clinic brand colors.","Done","1","Frontend Dev"
"TASK-3","Task","Test End-to-End Flow","Run a complete simulation of a patient booking an appointment and a consultant completing it.","To Do","3","QA Tester"
